# RTTI index for eldenring.exe (imagebase 0x140000000)
# vtable_rva	td_rva	ctor_rvas	mangled_name   (RVAs are er_base-relative)
0x2a271f8	0x3c7b340	0x3a2b30	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSBulletManager@CS@@VCSBulletManagerImp@2@@FD4@@$0A@@DLRF@@
0x2a27ff0	0x3c7b6e0	0x3bb000	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSCamera@CS@@VCSCameraImp@2@@FD4@@$0A@@DLRF@@
0x2bcb760	0x3d03690	0xddeb30	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSCheatEOS@CS@@VCSCheatEOSImp@2@@FD4@@$0A@@DLRF@@
0x2b8f750	0x3cf96a0	0xc4a200	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSCloth@CS@@VCSClothImp@2@@FD4@@$0A@@DLRF@@
0x2a526d0	0x3c82ad0	0x1f7431b	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDbgDistMeasure@CS@@VCSDbgDistMeasureImp@2@@FD4@@$0A@@DLRF@@
0x2a69c70	0x3c87d80	0x50321f2	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDbgEvent@CS@@VCSDbgEventImp@2@@FD4@@$0A@@DLRF@@
0x2bd36b0	0x3d04fd0	0x53ea256	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDbgIdName@CS@@VCSDbgIdNameImp@2@@FD4@@$0A@@DLRF@@
0x2bd5098	0x3d05990	0x5bb1957	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDbgRemoteUserInputSystem@CS@@VCSDbgRemoteUserInputSystemImp@2@@FD4@@$0A@@DLRF@@
0x2a54440	0x3c831c0	0x1c03515	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDbgSignboardMng@CS@@VCSDbgSignboardMngImp@2@@FD4@@$0A@@DLRF@@
0x2bc09b8	0x3d01c70	0x36b4d5	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDebugBankPlayerMng@CS@@VCSDebugBankPlayerMngImp@2@@FD4@@$0A@@DLRF@@
0x2a9b398	0x3c92320	0x5682f82	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDebugFe@CS@@VCSDebugFeImp@2@@FD4@@$0A@@DLRF@@
0x29cd9b0	0x3c63d50	0x3ef005	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDebugMenuDeleyDeleter@CS@@VCSDebugMenuDeleyDeleterImp@2@@FD4@@$0A@@DLRF@@
0x2a540b8	0x3c83130	0x1e2c473	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDebugScreenNotifyMsgMan@CS@@VCSDebugScreenNotifyMsgManImp@2@@FD4@@$0A@@DLRF@@
0x2b8dbe8	0x3cf8fb0	-	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDebugSeedPointCtrl@CS@@VCSDebugSeedPointCtrlImpl@2@@FD4@@$0A@@DLRF@@
0x2bf9ef0	0x3d0a870	0xe76700	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDelayDeleteMan@CS@@VCSDelayDeleteManImp@2@@FD4@@$0A@@DLRF@@
0x2b45d70	0x3ce8460	0xa6b240	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDisableHorseOverrideRegionMan@CS@@VCSDisableHorseOverrideRegionManImpl@2@@FD4@@$0A@@DLRF@@
0x2a58ca8	0x3c84a10	0x550ab0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDistViewManager@CS@@VCSDistViewManagerImp@2@@FD4@@$0A@@DLRF@@
0x2bd8428	0x3d06180	0xe06140	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDlc@CS@@VCSDlcImp@2@@FD4@@$0A@@DLRF@@
0x2a52880	0x3c82b50	0x5374b46	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSDrawGroupDebugManager@CS@@VCSDrawGroupDebugManagerImpl@2@@FD4@@$0A@@DLRF@@
0x29cf620	0x3c64400	0x1ef950	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEblFileManager@CS@@VCSEblFileManagerImpl@2@@FD4@@$0A@@DLRF@@
0x2ba1ae8	0x3cfd360	0xcd8680	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEddRepository@CS@@VCSEddRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2ba2a78	0x3cfd680	0xcdec10	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEmedfRepository@CS@@VCSEmedfRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2ba2dc8	0x3cfd7b0	0xcdf8f0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEmeldRepository@CS@@VCSEmeldRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2ba3348	0x3cfd8e0	0xce18c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEmevdRepository@CS@@VCSEmevdRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2ba28b0	0x3cfd5e0	0xcdc000	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEmkResMan@CS@@VCSEmkResManImp@2@@FD4@@$0A@@DLRF@@
0x2a5eb10	0x3c861e0	0x586750	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEmkSystem@CS@@VCSEmkSystemImp@2@@FD4@@$0A@@DLRF@@
0x29fa2a0	0x3c6d6e0	0x2a4910	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEntryfilelistRepository@CS@@VCSEntryfilelistRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2a6ccf0	0x3c88890	0x5c6ed0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEventFlagAllocList@CS@@VCSEventFlagAllocListImp@2@@FD4@@$0A@@DLRF@@
0x2a6dae8	0x3c88910	0x5cd980	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEventFlagMan@CS@@VCSEventFlagManImp@2@@FD4@@$0A@@DLRF@@
0x2baf348	0x3cff850	0xd1dc80	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEventFlagUsageParamManager@CS@@VCSEventFlagUsageParamManagerImp@2@@FD4@@$0A@@DLRF@@
0x2a6f9b8	0x3c88c80	0x5e41a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEventMan@CS@@VCSEventManImp@2@@FD4@@$0A@@DLRF@@
0x2a70578	0x3c89130	0x5e8990	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEventRegionMan@CS@@VCSEventRegionManImplement@2@@FD4@@$0A@@DLRF@@
0x2a69da8	0x3c87df0	0x5b5a90	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEventState@CS@@VCSEventStateImplement@2@@FD4@@$0A@@DLRF@@
0x2bfbf68	0x3d0ae00	0xe814b0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSEzWorkPool@CS@@VCSEzWorkPoolImp@2@@FD4@@$0A@@DLRF@@
0x2b6aef0	0x3cf0e30	0xb3f8e0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFD4Location@CS@@VCSFD4LocationImp@2@@FD4@@$0A@@DLRF@@
0x2bc6c90	0x3d02660	0xdc9900	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFD4MoWwisebankRepository@CS@@VCSFD4MoWwisebankRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b6a720	0x3cf09d0	0xb3cf80	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFade@CS@@VCSFadeImp@2@@FD4@@$0A@@DLRF@@
0x2b803c8	0x3cf6830	0xbbef80	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFakeLoadingScreen@CS@@VCSFakeLoadingScreenImp@2@@FD4@@$0A@@DLRF@@
0x2b46548	0x3ce87d0	0xa6d9c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFastTravelOverrideRegionMan@CS@@VCSFastTravelOverrideRegionManImpl@2@@FD4@@$0A@@DLRF@@
0x2a9db68	0x3c92a90	0x76d950	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFeMan@CS@@VCSFeManImp@2@@FD4@@$0A@@DLRF@@
0x2bfc208	0x3d0af20	0xe82810	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFlipper@CS@@VCSFlipperImp@2@@FD4@@$0A@@DLRF@@
0x2b6f590	0x3cf1e10	0xb55b60	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSFlverResDelayDeletion@CS@@VCSFlverResDelayDeletionImp@2@@FD4@@$0A@@DLRF@@
0x2bc8710	0x3d02fc0	0xdd0b00	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSForceBudgetMonitor@CS@@VCSForceBudgetMonitorImpl@2@@FD4@@$0A@@DLRF@@
0x2a7e478	0x3c8baf0	0x670fd0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGaitem@CS@@VCSGaitemImp@2@@FD4@@$0A@@DLRF@@
0x2a81800	0x3c8cae0	0x69da10	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGeomModelInsDelayCreator@CS@@VCSGeomModelInsDelayCreatorImp@2@@FD4@@$0A@@DLRF@@
0x2b70780	0x3cf22a0	0xb5cce0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGparamRepository@CS@@VCSGparamRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b65870	0x3cefe50	0xb187d0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGraphics@CS@@VCSGraphicsImp@2@@FD4@@$0A@@DLRF@@
0x2b46b30	0x3ce8a90	0xa715a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGroupPlacementPointMan@CS@@VCSGroupPlacementPointManImp@2@@FD4@@$0A@@DLRF@@
0x2b6a878	0x3cf0a40	0xb3e450	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGuiManager@CS@@VCSGuiManagerImp@2@@FD4@@$0A@@DLRF@@
0x2bd9ed8	0x3d067c0	0xe0cb50	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSGxLoadBalancerHelper@CS@@VCSGxLoadBalancerHelperImp@2@@FD4@@$0A@@DLRF@@
0x2b94f58	0x3cfa9d0	0xc84da0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHavokCompendiumRepository@CS@@VCSHavokCompendiumRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b905f8	0x3cf9910	0xc4f300	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHavokMan@CS@@VCSHavokManImp@2@@FD4@@$0A@@DLRF@@
0x2a58e18	0x3c84af0	0x553b50	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHitMtrlMan@CS@@VCSHitMtrlManImp@2@@FD4@@$0A@@DLRF@@
0x2b81620	0x3cf6c30	0xbd4120	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkAiManager@CS@@VCSHkAiManagerImp@2@@FD4@@$0A@@DLRF@@
0x2b84010	0x3cf73b0	0xbf0910	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkAiNvmRepository@CS@@VCSHkAiNvmRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b85d78	0x3cf7df0	0xbfc3e0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkBehCallBackAdapter@CS@@VCSHkBehCallBackAdapterImp@2@@FD4@@$0A@@DLRF@@
0x2b897a8	0x3cf82f0	0xc1e2a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkBehManager@CS@@VCSHkBehManagerImp@2@@FD4@@$0A@@DLRF@@
0x2b86348	0x3cf7fe0	0xbfdb90	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkBehScriptAdapter@CS@@VCSHkBehScriptAdapterImplement@2@@FD4@@$0A@@DLRF@@
0x2b8a6d8	0x3cf8690	0xc233a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkBehScriptRepository@CS@@VCSHkBehScriptRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b8b2b8	0x3cf8880	0xc27ac0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkBehStringRepository@CS@@VCSHkBehStringRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b928f0	0x3cfa370	0xc64fb0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSHkShapeRepository@CS@@VCSHkShapeRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2a9e218	0x3c92dd0	0x779dd0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSItemGetMenuMan@CS@@VCSItemGetMenuManImpl@2@@FD4@@$0A@@DLRF@@
0x2a52bf0	0x3c82be0	0x54050c9	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSKeyboardDebugMng@CS@@VCSKeyboardDebugMngImp@2@@FD4@@$0A@@DLRF@@
0x2bda290	0x3d06880	0xe0d1a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSLoadBalancer@CS@@VCSLoadBalancerImp@2@@FD4@@$0A@@DLRF@@
0x2a52d00	0x3c82c60	0x532630	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSLocatePointListManager@CS@@VCSLocatePointListManagerImp@2@@FD4@@$0A@@DLRF@@
0x2b6e3c8	0x3cf1810	0xb51670	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSLod@CS@@VCSLodImp@2@@FD4@@$0A@@DLRF@@
0x2bfc3d8	0x3d0aff0	0xe837f0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSLuaConsoleServer@CS@@VCSLuaConsoleServerImpl@2@@FD4@@$0A@@DLRF@@
0x2a5fba0	0x3c864b0	0x58c3b0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSLuaEventMan@CS@@VCSLuaEventManImp@2@@FD4@@$0A@@DLRF@@
0x2b47030	0x3ce8d10	0xa73b80	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMapPlaceNameOverrideRegionMan@CS@@VCSMapPlaceNameOverrideRegionManImpl@2@@FD4@@$0A@@DLRF@@
0x2ba54a8	0x3cfe430	0xce9810	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMapbndRepository@CS@@VCSMapbndRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2bda548	0x3d06930	0xe0da60	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMemLoadBalancer@CS@@VCSMemLoadBalancerImp@2@@FD4@@$0A@@DLRF@@
0x2bde170	0x3d07010	0xe18150	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMemory@CS@@VCSMemoryImp@2@@FD4@@$0A@@DLRF@@
0x2a9c2d8	0x3c92970	0x765930	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMenuMan@CS@@VCSMenuManImp@2@@FD4@@$0A@@DLRF@@
0x2bdeab8	0x3d07670	0xe1e3b0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMouseMan@CS@@VCSMouseManImp@2@@FD4@@$0A@@DLRF@@
0x2bdecd0	0x3d07760	0xe1f0f0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMovie@CS@@VCSMovieImp@2@@FD4@@$0A@@DLRF@@
0x2a52e58	0x3c82cf0	0x5bec085	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMsbMapLayoutExportDebugManager@CS@@VCSMsbMapLayoutExportDebugManagerImpl@2@@FD4@@$0A@@DLRF@@
0x2ba9760	0x3cff1a0	0xd09100	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMsbPointMan@CS@@VCSMsbPointManImp@2@@FD4@@$0A@@DLRF@@
0x2ac14a0	0x3ca3f10	0x8138f0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMtmskRepository@CS@@VCSMtmskRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b473c0	0x3ce8f30	0xa75760	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSMultiForbiddenRegion@CS@@VCSMultiForbiddenRegionImpl@2@@FD4@@$0A@@DLRF@@
0x29caed8	0x3c63740	0x1cc080	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSNetMan@CS@@VCSNetManImp@2@@FD4@@$0A@@DLRF@@
0x2b99278	0x3cfb570	0xca95b0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSNetworkUserManager@CS@@VCSNetworkUserManagerImp@2@@FD4@@$0A@@DLRF@@
0x29f9938	0x3c6d440	0x2a27c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSNowLoadingHelper@CS@@VCSNowLoadingHelperImp@2@@FD4@@$0A@@DLRF@@
0x2b47908	0x3ce90e0	0xa78460	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSOpenChrActivateThresholdRegionMan@CS@@VCSOpenChrActivateThresholdRegionManImpl@2@@FD4@@$0A@@DLRF@@
0x2bf3280	0x3d09220	0xe5f5f0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPS5Activity@CS@@VCSPS5ActivityImp@2@@FD4@@$0A@@DLRF@@
0x2a48ac8	0x3c81c50	0x4ede10	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPairAnimManager@CS@@VCSPairAnimManagerImp@2@@FD4@@$0A@@DLRF@@
0x2bd4f80	0x3d05920	0xdfd520	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPanic@CS@@VCSPanicImp@2@@FD4@@$0A@@DLRF@@
0x2a58f20	0x3c84bb0	0x5542b0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPauseMan@CS@@VCSPauseManImp@2@@FD4@@$0A@@DLRF@@
0x29e1c50	0x3c68730	0x2429d0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPcKeyConfig@CS@@VCSPcKeyConfigImp@2@@FD4@@$0A@@DLRF@@
0x2be2f38	0x3d08340	0xe356a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPerfMan@CS@@VCSPerfManImp@2@@FD4@@$0A@@DLRF@@
0x2a53cd8	0x3c82fe0	-	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPlacementDebugManager@CS@@VCSPlacementDebugManagerImpl@2@@FD4@@$0A@@DLRF@@
0x2b9dc40	0x3cfc410	0xcc2460	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPlatformNetworkMan@CS@@VCSPlatformNetworkManImp@2@@FD4@@$0A@@DLRF@@
0x2b44c88	0x3ce7f50	0xa614c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPlayRegionPointMan@CS@@VCSPlayRegionPointManImpl@2@@FD4@@$0A@@DLRF@@
0x2be32a0	0x3d084e0	0xe361c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPlaygo@CS@@VCSPlaygoImp@2@@FD4@@$0A@@DLRF@@
0x2be4f80	0x3d08c20	0xe3a4c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSPlaylogSystem@CS@@VCSPlaylogSystemImp@2@@FD4@@$0A@@DLRF@@
0x29fa8e8	0x3c6d830	0x2a6370	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRapidReentryHelper@CS@@VCSRapidReentryHelperImp@2@@FD4@@$0A@@DLRF@@
0x2bf8e20	0x3d0a040	0xe753a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRefWatcherCollector@CS@@VCSRefWatcherCollectorImp@2@@FD4@@$0A@@DLRF@@
0x2bd8bb0	0x3d06340	0xe08170	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRegulationManager@CS@@VCSRegulationManagerImp@2@@FD4@@$0A@@DLRF@@
0x2b4ff98	0x3cea910	0xa9c910	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRemo@CS@@VCSRemoImp@2@@FD4@@$0A@@DLRF@@
0x2bd6050	0x3d05dc0	0xdfff00	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRemoteUserInputProbe@CS@@VCSRemoteUserInputProbeImp@2@@FD4@@$0A@@DLRF@@
0x2bf45b8	0x3d093e0	0xe64240	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSReportSystem@CS@@VCSReportSystemImp@2@@FD4@@$0A@@DLRF@@
0x2b48310	0x3ce9410	0xa7b9e0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRideJumpRegionMan@CS@@VCSRideJumpRegionManImpl@2@@FD4@@$0A@@DLRF@@
0x2a81238	0x3c8c750	0x69b8a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRollingObjOverrideRegionMan@CS@@VCSRollingObjOverrideRegionManImp@2@@FD4@@$0A@@DLRF@@
0x2bb6c50	0x3d00010	0xd5d3e0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSRtasbndRepository@CS@@VCSRtasbndRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2bb9378	0x3d008a0	0xd6a780	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSScaleform@CS@@VCSScaleformImp@2@@FD4@@$0A@@DLRF@@
0x2bb8d60	0x3d00730	0xd691c0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSScaleformArabic@CS@@VCSScaleformArabicImp@2@@FD4@@$0A@@DLRF@@
0x2b3ac50	0x3ce5190	0xa15900	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSServerInterface@CS@@VCSServerInterfaceImpl@2@@FD4@@$0A@@DLRF@@
0x2b9a420	0x3cfb7a0	0xcad410	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSSessionManager@CS@@VCSSessionManagerImp@2@@FD4@@$0A@@DLRF@@
0x2bc03d0	0x3d01b50	0xd8f5f0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSSfx@CS@@VCSSfxImp@2@@FD4@@$0A@@DLRF@@
0x2a1bc38	0x3c77850	0x346d70	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSSightRateRegionMan@CS@@VCSSightRateRegionManImpl@2@@FD4@@$0A@@DLRF@@
0x2bc2d18	0x3d01f90	0xda5b70	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSSound@CS@@VCSSoundImp@2@@FD4@@$0A@@DLRF@@
0x2a548c8	0x3c83270	0xa8c0c5	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSStageDebug@CS@@VCSStageDebugImp@2@@FD4@@$0A@@DLRF@@
0x2bf3000	0x3d09140	0x518a79d	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSSystemProperties@CS@@VCSSystemPropertiesImp@2@@FD4@@$0A@@DLRF@@
0x2a1a5e8	0x3c774b0	0x32af90	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSTargetBankManager@CS@@VCSTargetBankManagerImp@2@@FD4@@$0A@@DLRF@@
0x2c01a40	0x3d0c330	0xeb1da0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSTask@CS@@VCSTaskImp@2@@FD4@@$0A@@DLRF@@
0x2c01b60	0x3d0c3c0	0xeb25d0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSTaskGroup@CS@@VCSTaskGroupImp@2@@FD4@@$0A@@DLRF@@
0x2b9b580	0x3cfbb60	0xcba190	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSTestUserNameManager@CS@@VCSTestUserNameManagerImp@2@@FD4@@$0A@@DLRF@@
0x2bf7830	0x3d09c50	0xe71d60	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSTrophy@CS@@VCSTrophyImp@2@@FD4@@$0A@@DLRF@@
0x2bfc6a8	0x3d0b0b0	0xe86080	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSVideoCapture@CS@@VCSVideoCaptureImp@2@@FD4@@$0A@@DLRF@@
0x2a7b008	0x3c8b590	0x640150	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWeatherLotRegionMan@CS@@VCSWeatherLotRegionManImp@2@@FD4@@$0A@@DLRF@@
0x2bfe0e0	0x3d0b530	0xe8dcc0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWindow@CS@@VCSWindowImp@2@@FD4@@$0A@@DLRF@@
0x2b9ba50	0x3cfbc80	0xcbbe30	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWordChecker@CS@@VCSWordCheckerImpl@2@@FD4@@$0A@@DLRF@@
0x2a237d8	0x3c79e80	0x37b230	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldAiManager@CS@@VCSWorldAiManagerImp@2@@FD4@@$0A@@DLRF@@
0x2a860d0	0x3c8d4f0	0x6cff90	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldGeomMan@CS@@VCSWorldGeomManImp@2@@FD4@@$0A@@DLRF@@
0x2b48c68	0x3ce96c0	0xa825a0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldMapPointMan@CS@@VCSWorldMapPointManImplement@2@@FD4@@$0A@@DLRF@@
0x2b8d4e8	0x3cf8db0	0xc39b50	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldNvmManager@CS@@VCSWorldNvmManagerImp@2@@FD4@@$0A@@DLRF@@
0x2a6c5e8	0x3c88810	0x5c2a10	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldObjActMan@CS@@VCSWorldObjActManImpl@2@@FD4@@$0A@@DLRF@@
0x2b55338	0x3ceb810	0xab9770	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldSceneDrawParamManager@CS@@VCSWorldSceneDrawParamManagerImp@2@@FD4@@$0A@@DLRF@@
0x2c00a28	0x3d0bf10	0xead240	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldTalkMan@CS@@VCSWorldTalkManImpl@2@@FD4@@$0A@@DLRF@@
0x2a21878	0x3c79980	0x36b420	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCSWorldWaypointManager@CS@@VCSWorldWaypointManagerImp@2@@FD4@@$0A@@DLRF@@
0x2a4c010	0x3c82380	0x513af0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VChrNonActiveBlockManager@CS@@VChrNonActiveBlockManagerImp@2@@FD4@@$0A@@DLRF@@
0x2a3d4d0	0x3c7ffe0	0x48e780	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VChrresRepository@CS@@VChrresRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2b741f8	0x3cf3130	0xb767b0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCpoRepository@CS@@VCpoRepositoryImp@2@@FD4@@$0A@@DLRF@@
0x2be3070	0x3d083e0	0xe35bb0	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCsPerformanceMarker@CS@@VCsPerformanceMarkerImp@2@@FD4@@$0A@@DLRF@@
0x2bb69e0	0x3cfff00	0xd5cd70	.?AV?$DLRuntimeClassImpl@V?$FD4Singleton@VCsResMemStatistics@CS@@VCsResMemStatisticsImpl@2@@FD4@@$0A@@DLRF@@
